OverallQual,GrLivArea,GarageCars,ExterQual,GarageArea,TotalBsmtSF,BsmtQual,1stFlrSF,KitchenQual,FullBath,TotRmsAbvGrd,YearBuilt,GarageFinish,YearRemodAdd,GarageYrBlt,MasVnrArea,Fireplaces,HeatingQC,BsmtFinSF1,Foundation,GarageType,LotFrontage,WoodDeckSF,2ndFlrSF,OpenPorchSF,BsmtExposure,HalfBath,LotArea,LotShape,CentralAir,Electrical,PavedDrive,BsmtFullBath
7,1710,2,Gd,548,856,Gd,856,Gd,2,8,2003,RFn,2003,2003.0,196.0,0,Ex,706,PConc,Attchd,65.0,0,854,61,No,1,8450,Reg,Y,SBrkr,Y,1
6,1262,2,TA,460,1262,Gd,1262,TA,2,6,1976,RFn,1976,1976.0,0.0,1,Ex,978,CBlock,Attchd,80.0,298,0,0,Gd,0,9600,Reg,Y,SBrkr,Y,0
7,1786,2,Gd,608,920,Gd,920,Gd,2,6,2001,RFn,2002,2001.0,162.0,1,Ex,486,PConc,Attchd,68.0,0,866,42,Mn,1,11250,IR1,Y,SBrkr,Y,1
7,1717,3,TA,642,756,TA,961,Gd,1,7,1915,Unf,1970,1998.0,0.0,1,Gd,216,BrkTil,Detchd,60.0,0,756,35,No,0,9550,IR1,Y,SBrkr,Y,1
8,2198,3,Gd,836,1145,Gd,1145,Gd,2,9,2000,RFn,2000,2000.0,350.0,1,Ex,655,PConc,Attchd,84.0,192,1053,84,Av,1,14260,IR1,Y,SBrkr,Y,1
5,1362,2,TA,480,796,Gd,796,TA,1,5,1993,Unf,1995,1993.0,0.0,0,Ex,732,Wood,Attchd,85.0,40,566,30,No,1,14115,IR1,Y,SBrkr,Y,1
8,1694,2,Gd,636,1686,Ex,1694,Gd,2,7,2004,RFn,2005,2004.0,186.0,1,Ex,1369,PConc,Attchd,75.0,255,0,57,Av,0,10084,Reg,Y,SBrkr,Y,1
7,2090,2,TA,484,1107,Gd,1107,TA,2,7,1973,RFn,1973,1973.0,240.0,2,Ex,859,CBlock,Attchd,,235,983,204,Mn,1,10382,IR1,Y,SBrkr,Y,1
7,1774,2,TA,468,952,TA,1022,TA,2,8,1931,Unf,1950,1931.0,0.0,2,Gd,0,BrkTil,Detchd,51.0,90,752,0,No,0,6120,Reg,Y,FuseF,Y,0
5,1077,1,TA,205,991,TA,1077,TA,1,5,1939,RFn,1950,1939.0,0.0,2,Ex,851,BrkTil,Attchd,50.0,0,0,4,No,0,7420,Reg,Y,SBrkr,Y,1
