SalePrice,OverallQual,GrLivArea,GarageCars,ExterQual,GarageArea,TotalBsmtSF,1stFlrSF,BsmtQual,KitchenQual,FullBath,TotRmsAbvGrd,YearBuilt,YearRemodAdd,MasVnrArea,GarageYrBlt,Fireplaces,GarageFinish,GarageType,HeatingQC,BsmtFinSF1,Foundation,LotFrontage,WoodDeckSF,2ndFlrSF
208500,7,1710,2,Gd,548,856,856,Gd,Gd,2,8,2003,2003,196.0,2003.0,0,RFn,Attchd,Ex,706,PConc,65.0,0,854
181500,6,1262,2,TA,460,1262,1262,Gd,TA,2,6,1976,1976,0.0,1976.0,1,RFn,Attchd,Ex,978,CBlock,80.0,298,0
223500,7,1786,2,Gd,608,920,920,Gd,Gd,2,6,2001,2002,162.0,2001.0,1,RFn,Attchd,Ex,486,PConc,68.0,0,866
140000,7,1717,3,TA,642,756,961,TA,Gd,1,7,1915,1970,0.0,1998.0,1,Unf,Detchd,Gd,216,BrkTil,60.0,0,756
250000,8,2198,3,Gd,836,1145,1145,Gd,Gd,2,9,2000,2000,350.0,2000.0,1,RFn,Attchd,Ex,655,PConc,84.0,192,1053
143000,5,1362,2,TA,480,796,796,Gd,TA,1,5,1993,1995,0.0,1993.0,0,Unf,Attchd,Ex,732,Wood,85.0,40,566
307000,8,1694,2,Gd,636,1686,1694,Ex,Gd,2,7,2004,2005,186.0,2004.0,1,RFn,Attchd,Ex,1369,PConc,75.0,255,0
200000,7,2090,2,TA,484,1107,1107,Gd,TA,2,7,1973,1973,240.0,1973.0,2,RFn,Attchd,Ex,859,CBlock,,235,983
129900,7,1774,2,TA,468,952,1022,TA,TA,2,8,1931,1950,0.0,1931.0,2,Unf,Detchd,Gd,0,BrkTil,51.0,90,752
118000,5,1077,1,TA,205,991,1077,TA,TA,1,5,1939,1950,0.0,1939.0,2,RFn,Attchd,Ex,851,BrkTil,50.0,0,0
129500,5,1040,1,TA,384,1040,1040,TA,TA,1,5,1965,1965,0.0,1965.0,0,Unf,Detchd,Ex,906,CBlock,70.0,0,0
345000,9,2324,3,Ex,736,1175,1182,Ex,Ex,3,11,2005,2006,286.0,2005.0,2,Fin,BuiltIn,Ex,998,PConc,85.0,147,1142
144000,5,912,1,TA,352,912,912,TA,TA,1,4,1962,1962,0.0,1962.0,0,Unf,Detchd,TA,737,CBlock,,140,0
279500,7,1494,3,Gd,840,1494,1494,Gd,Gd,2,7,2006,2007,306.0,2006.0,1,RFn,Attchd,Ex,0,PConc,91.0,160,0
157000,6,1253,1,TA,352,1253,1253,TA,TA,1,5,1960,1960,212.0,1960.0,1,RFn,Attchd,TA,733,CBlock,,0,0
132000,7,854,2,TA,576,832,854,TA,TA,1,5,1929,2001,0.0,1991.0,0,Unf,Detchd,Ex,0,BrkTil,51.0,48,0
149000,6,1004,2,TA,480,1004,1004,TA,TA,1,5,1970,1970,180.0,1970.0,1,Fin,Attchd,Ex,578,CBlock,,0,0
90000,4,1296,2,TA,516,0,1296,,TA,2,6,1967,1967,0.0,1967.0,0,Unf,CarPort,TA,0,Slab,72.0,0,0
159000,5,1114,2,TA,576,1114,1114,TA,Gd,1,6,2004,2004,0.0,2004.0,0,Unf,Detchd,Ex,646,PConc,66.0,0,0
139000,5,1339,1,TA,294,1029,1339,TA,TA,1,6,1958,1965,0.0,1958.0,0,Unf,Attchd,TA,504,CBlock,70.0,0,0
325300,8,2376,3,Gd,853,1158,1158,Ex,Gd,3,9,2005,2006,380.0,2005.0,1,RFn,BuiltIn,Ex,0,PConc,101.0,240,1218
139400,7,1108,1,TA,280,637,1108,TA,Gd,1,6,1930,1950,0.0,1930.0,1,Unf,Attchd,Ex,0,PConc,57.0,0,0
230000,8,1795,2,Gd,534,1777,1795,Gd,Gd,2,7,2002,2002,281.0,2002.0,1,RFn,Attchd,Ex,0,PConc,75.0,171,0
129900,5,1060,2,TA,572,1040,1060,Gd,TA,1,6,1976,1976,0.0,1976.0,1,Unf,Attchd,TA,840,PConc,44.0,100,0
154000,5,1060,1,TA,270,1060,1060,TA,Gd,1,6,1968,2001,0.0,1968.0,1,Unf,Attchd,Ex,188,CBlock,,406,0
256300,8,1600,3,Gd,890,1566,1600,Gd,Gd,2,7,2007,2007,640.0,2007.0,1,RFn,Attchd,Ex,0,PConc,110.0,0,0
134800,5,900,2,TA,576,900,900,TA,Gd,1,5,1951,2000,0.0,2005.0,0,Unf,Detchd,TA,234,CBlock,60.0,222,0
306000,8,1704,3,Gd,772,1704,1704,Ex,Gd,2,7,2007,2008,200.0,2008.0,1,RFn,Attchd,Ex,1218,PConc,98.0,0,0
207500,5,1600,1,TA,319,1484,1600,TA,TA,1,6,1957,1997,0.0,1957.0,2,RFn,Attchd,TA,1277,CBlock,47.0,288,0
68500,4,520,1,TA,240,520,520,TA,Fa,1,4,1927,1950,0.0,1920.0,0,Unf,Detchd,Fa,0,BrkTil,60.0,49,0
40000,4,1317,1,TA,250,649,649,TA,TA,1,6,1920,1950,0.0,1920.0,0,Unf,Detchd,TA,0,BrkTil,50.0,0,668
