SalePrice,OverallQual,GrLivArea,GarageCars,ExterQual,GarageArea,TotalBsmtSF,1stFlrSF,BsmtQual,KitchenQual,FullBath,TotRmsAbvGrd,YearBuilt,YearRemodAdd,MasVnrArea,GarageYrBlt,Fireplaces,GarageFinish,GarageType,HeatingQC,BsmtFinSF1,Foundation,LotFrontage,WoodDeckSF,2ndFlrSF,OpenPorchSF,HalfBath,BsmtExposure,LotArea,LotShape,CentralAir,GarageCond,Electrical,PavedDrive,BsmtFullBath,RoofStyle,BsmtUnfSF,SaleCondition,Neighborhood,GarageQual,HouseStyle,BedroomAbvGr,MSZoning
208500,7,1710,2,Gd,548,856,856,Gd,Gd,2,8,2003,2003,196.0,2003.0,0,RFn,Attchd,Ex,706,PConc,65.0,0,854,61,1,No,8450,Reg,Y,TA,SBrkr,Y,1,Gable,150,Normal,CollgCr,TA,2Story,3,RL
181500,6,1262,2,TA,460,1262,1262,Gd,TA,2,6,1976,1976,0.0,1976.0,1,RFn,Attchd,Ex,978,CBlock,80.0,298,0,0,0,Gd,9600,Reg,Y,TA,SBrkr,Y,0,Gable,284,Normal,Veenker,TA,1Story,3,RL
223500,7,1786,2,Gd,608,920,920,Gd,Gd,2,6,2001,2002,162.0,2001.0,1,RFn,Attchd,Ex,486,PConc,68.0,0,866,42,1,Mn,11250,IR1,Y,TA,SBrkr,Y,1,Gable,434,Normal,CollgCr,TA,2Story,3,RL
140000,7,1717,3,TA,642,756,961,TA,Gd,1,7,1915,1970,0.0,1998.0,1,Unf,Detchd,Gd,216,BrkTil,60.0,0,756,35,0,No,9550,IR1,Y,TA,SBrkr,Y,1,Gable,540,Abnorml,Crawfor,TA,2Story,3,RL
250000,8,2198,3,Gd,836,1145,1145,Gd,Gd,2,9,2000,2000,350.0,2000.0,1,RFn,Attchd,Ex,655,PConc,84.0,192,1053,84,1,Av,14260,IR1,Y,TA,SBrkr,Y,1,Gable,490,Normal,NoRidge,TA,2Story,4,RL
143000,5,1362,2,TA,480,796,796,Gd,TA,1,5,1993,1995,0.0,1993.0,0,Unf,Attchd,Ex,732,Wood,85.0,40,566,30,1,No,14115,IR1,Y,TA,SBrkr,Y,1,Gable,64,Normal,Mitchel,TA,1.5Fin,1,RL
307000,8,1694,2,Gd,636,1686,1694,Ex,Gd,2,7,2004,2005,186.0,2004.0,1,RFn,Attchd,Ex,1369,PConc,75.0,255,0,57,0,Av,10084,Reg,Y,TA,SBrkr,Y,1,Gable,317,Normal,Somerst,TA,1Story,3,RL
200000,7,2090,2,TA,484,1107,1107,Gd,TA,2,7,1973,1973,240.0,1973.0,2,RFn,Attchd,Ex,859,CBlock,,235,983,204,1,Mn,10382,IR1,Y,TA,SBrkr,Y,1,Gable,216,Normal,NWAmes,TA,2Story,3,RL
129900,7,1774,2,TA,468,952,1022,TA,TA,2,8,1931,1950,0.0,1931.0,2,Unf,Detchd,Gd,0,BrkTil,51.0,90,752,0,0,No,6120,Reg,Y,TA,FuseF,Y,0,Gable,952,Abnorml,OldTown,Fa,1.5Fin,2,RM
118000,5,1077,1,TA,205,991,1077,TA,TA,1,5,1939,1950,0.0,1939.0,2,RFn,Attchd,Ex,851,BrkTil,50.0,0,0,4,0,No,7420,Reg,Y,TA,SBrkr,Y,1,Gable,140,Normal,BrkSide,Gd,1.5Unf,2,RL
129500,5,1040,1,TA,384,1040,1040,TA,TA,1,5,1965,1965,0.0,1965.0,0,Unf,Detchd,Ex,906,CBlock,70.0,0,0,0,0,No,11200,Reg,Y,TA,SBrkr,Y,1,Hip,134,Normal,Sawyer,TA,1Story,3,RL
345000,9,2324,3,Ex,736,1175,1182,Ex,Ex,3,11,2005,2006,286.0,2005.0,2,Fin,BuiltIn,Ex,998,PConc,85.0,147,1142,21,0,No,11924,IR1,Y,TA,SBrkr,Y,1,Hip,177,Partial,NridgHt,TA,2Story,4,RL
144000,5,912,1,TA,352,912,912,TA,TA,1,4,1962,1962,0.0,1962.0,0,Unf,Detchd,TA,737,CBlock,,140,0,0,0,No,12968,IR2,Y,TA,SBrkr,Y,1,Hip,175,Normal,Sawyer,TA,1Story,2,RL
279500,7,1494,3,Gd,840,1494,1494,Gd,Gd,2,7,2006,2007,306.0,2006.0,1,RFn,Attchd,Ex,0,PConc,91.0,160,0,33,0,Av,10652,IR1,Y,TA,SBrkr,Y,0,Gable,1494,Partial,CollgCr,TA,1Story,3,RL
157000,6,1253,1,TA,352,1253,1253,TA,TA,1,5,1960,1960,212.0,1960.0,1,RFn,Attchd,TA,733,CBlock,,0,0,213,1,No,10920,IR1,Y,TA,SBrkr,Y,1,Hip,520,Normal,NAmes,TA,1Story,2,RL
132000,7,854,2,TA,576,832,854,TA,TA,1,5,1929,2001,0.0,1991.0,0,Unf,Detchd,Ex,0,BrkTil,51.0,48,0,112,0,No,6120,Reg,Y,TA,FuseA,Y,0,Gable,832,Normal,BrkSide,TA,1.5Unf,2,RM
149000,6,1004,2,TA,480,1004,1004,TA,TA,1,5,1970,1970,180.0,1970.0,1,Fin,Attchd,Ex,578,CBlock,,0,0,0,0,No,11241,IR1,Y,TA,SBrkr,Y,1,Gable,426,Normal,NAmes,TA,1Story,2,RL
90000,4,1296,2,TA,516,0,1296,,TA,2,6,1967,1967,0.0,1967.0,0,Unf,CarPort,TA,0,Slab,72.0,0,0,0,0,,10791,Reg,Y,TA,SBrkr,Y,0,Gable,0,Normal,Sawyer,TA,1Story,2,RL
159000,5,1114,2,TA,576,1114,1114,TA,Gd,1,6,2004,2004,0.0,2004.0,0,Unf,Detchd,Ex,646,PConc,66.0,0,0,102,1,No,13695,Reg,Y,TA,SBrkr,Y,1,Gable,468,Normal,SawyerW,TA,1Story,3,RL
